leaf_bag_number;weight_start
7;7.98
8;7.969
10;7.991
13;7.989
21;7.983
28;8.009
34;7.988
39;8.043
41;7.98
47;8.024
54;7.99
58;7.989
61;7.985
65;7.982
66;8.049
69;7.992
72;7.985
76;7.992
77;8.034
78;8.009
79;7.972
82;8.031
85;8.005
75;8.014
86;8.006
87;8.003
88;7.968
95;7.976
109;8.033
114;8.013
119;8.042
121;8.016
131;8.018
732;8.012
136;7.997
139;7.984
140;8.024
143;7.982
144;8.041
152;7.999
153;8.036
159;7.983
161;8.031
164;7.957
166;7.973
171;7.983
172;7.998
175;8.021
176;8.029
178;7.989
181;7.983
183;7.997
187;8.038
188;7.999
192;7.995
197;8.018
210;8.008
213;7.99
215;7.964
216;8.002
220;7.975
221;8.032
224;8.013
226;7.971
236;8.003
238;8.039
243;7.973
245;8.023
252;7.984
253;7.97
255;7.985
262;8.014
266;8.035
271;8.029
274;8.027
275;7.974
502;8.051
503;7.995
505;7.977
506;8.025
509;7.965
510;7.997
511;7.993
512;8.025
513;8.02
517;8.003
519;8.001
521;7.99
524;8.012
526;7.956
527;7.965
528;8.004
529;7.967
530;8.004
532;7.997
535;7.97
536;7.96
538;7.966
540;8.013
541;8
544;7.978
545;8.014
546;8.027
548;8.013
552;7.999
553;7.992
554;7.988
557;7.978
558;7.97
559;8.013
561;8.027
563;8.039
564;8.031
565;7.996
566;8.02
568;7.991
586;7.968
569;7.999
571;8.013
572;8.003
574;7.994
547;8.02
576;8.024
578;7.991
579;7.978
580;7.987
581;8.015
583;7.99
584;7.991
585;7.979
587;7.993
588;8.016
589;8.037
590;8.032
592;7.992
595;8.003
596;7.991
597;7.996
600;8.031
601;8.015
603;7.958
606;8.04
607;7.983
610;7.973
612;8.01
613;7.985
614;7.984
620;7.989
622;7.995
624;8
625;7.993
626;8.016
628;7.974
631;7.991
633;7.97
634;8.199
636;8
641;8.002
643;8.013
644;8.023
645;7.98
646;7.979
647;8.007
648;8.005
649;7.98
651;7.977
652;8.004
653;8.005
655;7.996
657;7.991
660;8.031
661;8.046
662;8.025
663;7.997
665;8.016
666;7.99
669;8.002
670;8.045
673;7.987
675;7.991
677;7.97
679;8.036
681;7.989
682;8.01
683;8.04
688;8.003
689;8.028
690;7.916
691;7.979
693;8.039
694;8.006
696;7.981
697;7.999
699;8.014
701;8.006
704;8.006
709;7.98
710;8.031
711;7.996
712;8.002
713;8.037
715;7.998
717;7.985
718;7.977
719;8.031
724;7.96
725;8.042
727;7.992
728;8.008
730;7.99
731;8.033
734;8.018
738;8.002
739;7.999
741;7.989
747;7.998
749;8.002
752;8.003
757;7.985
759;8.003
760;8.032
762;8.022
765;8.04
766;8.033
550;5.968
