siteID;rep_number
S104;1
S105;1
S106;1
S107;1
S108;1
S109;1
S53;1
S56;1
S58;1
S111;1
S59;1
S60;1
S114;1
S63;1
S123;1
S116;1
S118;1
S2;1
S3;1
S5;1
S7;1
S8;1
S10;1
S11;1
S14;1
S15;1
S16;1
S17;1
S20;1
S21;1
S22;1
S23;1
S26;1
S28;1
S29;1
S90;1
S30;1
S31;1
S35;1
S37;1
S38;1
S39;1
S92;1
S93;1
S43;1
S44;1
S45;1
S48;1
S49;1
S95;1
S50;1
S57;1
S96;1
S61;1
S65;1
S66;1
S70;1
S97;1
S74;1
S75;1
S98;1
S99;1
S76;1
S78;1
S79;1
S81;1
S101;1
S83;1
S102;1
S85;1
S104;2
S105;2
S106;2
S107;2
S108;2
S109;2
S53;2
S56;2
S58;2
S111;2
S59;2
S60;2
S114;2
S63;2
S123;2
S116;2
S118;2
S2;2
S3;2
S5;2
S7;2
S8;2
S10;2
S11;2
S14;2
S15;2
S16;2
S17;2
S20;2
S21;2
S22;2
S23;2
S26;2
S28;2
S29;2
S90;2
S30;2
S31;2
S35;2
S37;2
S38;2
S39;2
S92;2
S93;2
S43;2
S44;2
S45;2
S48;2
S49;2
S95;2
S50;2
S57;2
S96;2
S61;2
S65;2
S66;2
S70;2
S97;2
S74;2
S75;2
S98;2
S99;2
S76;2
S78;2
S79;2
S81;2
S101;2
S83;2
S102;2
S85;2
S104;3
S105;3
S106;3
S107;3
S108;3
S109;3
S53;3
S56;3
S58;3
S111;3
S59;3
S60;3
S114;3
S63;3
S123;3
S116;3
S118;3
S2;3
S3;3
S5;3
S7;3
S8;3
S10;3
S11;3
S14;3
S15;3
S16;3
S17;3
S20;3
S21;3
S22;3
S23;3
S26;3
S28;3
S29;3
S90;3
S30;3
S31;3
S35;3
S37;3
S38;3
S39;3
S92;3
S93;3
S43;3
S44;3
S45;3
S48;3
S49;3
S95;3
S50;3
S57;3
S96;3
S61;3
S65;3
S66;3
S70;3
S97;3
S74;3
S75;3
S98;3
S99;3
S76;3
S78;3
S79;3
S81;3
S101;3
S83;3
S102;3
S85;3
